Country,Is Non-Muslim,Source,Language,Localization name,Code,country_id,localization_id,Default translation,Translated by,Translation ID,Description,URL
"UK, US",Yes,QuranEnc,English,English,en,1,1,1,Rowwad Translation Center,english_rwwad,Translated by Rowwad Translation Center,https://quranenc.com/en/browse/english_rwwad
"UK, US",Yes,QuranEnc,English,English,en,1,1,1,Noor International,english_saheeh,Issued by Noor International,https://quranenc.com/en/browse/english_saheeh
"UK, US",Yes,QuranEnc,English,English,en,1,1,1,Taqiuddin Hilali & Mohsin Khan,english_hilali_khan,Translated by Taqiuddin Hilali and Mohsin Khan,https://quranenc.com/en/browse/english_hilali_khan
"UK, US",Yes,QuranEnc,English,English,en,1,1,1,Dr. Waleed Bleyhesh Omary,english_waleed,Translated by Dr. Waleed Bleyhesh Omary,https://quranenc.com/en/browse/english_waleed
France,Yes,QuranEnc,French,French,fr,2,2,1,Rashid Maash,french_rashid,Translated by Rashid Maash,https://quranenc.com/en/browse/french_rashid
France,Yes,QuranEnc,French,French,fr,2,2,1,Noor International (Dr. Nabil Rudwan),french_montada,Translated by Dr. Nabil Rudwan - issued by Noor International Center,https://quranenc.com/en/browse/french_montada
France,Yes,QuranEnc,French,French,fr,2,2,1,Muhammad Hamidullah,french_hameedullah,"Translated by Muhammad Hamidullah, supervised by Rowwad Translation Center. Original translation available for review/development.",https://quranenc.com/en/browse/french_hameedullah
Spain,Yes,QuranEnc,Spanish,Spanish,es,3,3,1,Noor International,spanish_montada_eu,Issued by Noor International,https://quranenc.com/en/browse/spanish_montada_eu
Spain,Yes,QuranEnc,Spanish,Spanish,es,3,3,1,Muhammad Isa Garcia,spanish_garcia,Translated by Muhammad Isa Garcia,https://quranenc.com/en/browse/spanish_garcia
Spain,Yes,QuranEnc,Spanish (Latin),Spanish,es,3,3,1,Noor International,spanish_montada_latin,Latin version issued by Noor International Center,https://quranenc.com/en/browse/spanish_montada_latin
Portugal,Yes,QuranEnc,Portuguese,Portuguese,pt,4,4,1,Helmi Nasr,portuguese_nasr,"Translated by Dr. Helmi Nasr, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/portuguese_nasr
Greece,Yes,QuranEnc,Greek,Greek,el,5,5,1,Rowwad Translation Center,greek_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/greek_rwwad
Germany,Yes,QuranEnc,German,German,de,6,6,1,Frank Bubenheim & Dr. Nadim Elias,german_bubenheim,Translated by Abdullah as-Samit (Frank Bubenheim) and Dr. Nadim Elias.,https://quranenc.com/en/browse/german_bubenheim
Germany,Yes,QuranEnc,German,German,de,6,6,1,Abu Rida,german_aburida,Translated by Ali Abu Rida Muhammad ibn Ahmad ibn Rasool.,https://quranenc.com/en/browse/german_aburida
Germany,Yes,QuranEnc,German,German,de,6,6,1,Rowwad Translation Center,german_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/german_rwwad
Italy,Yes,QuranEnc,Italian,Italian,it,7,7,1,Rowwad Translation Center,italian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/italian_rwwad
Bulgaria,Yes,QuranEnc,Bulgarian,Bulgarian,bg,8,8,1,Unknown,bulgarian_translation,Translation of the Quran's meanings into Bulgarian.,https://quranenc.com/en/browse/bulgarian_translation
Romania,Yes,QuranEnc,Romanian,Romanian,ro,9,9,1,Islam4ro.com,romanian_project,Translation of the Noble Quran's meanings into Romanian. Issued by islam4ro.com.,https://quranenc.com/en/browse/romanian_project
Netherlands,Yes,QuranEnc,Dutch,Dutch,nl,10,10,1,Rowwad Translation Center,dutch_center,"Issued by Dutch Islamic Center, supervised by Rowwad Translation Center.",https://quranenc.com/en/browse/dutch_center
Turkey,No,QuranEnc,Turkish,Turkish,tr,11,11,1,Rowwad Translation Center,turkish_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/turkish_rwwad
Turkey,No,QuranEnc,Turkish,Turkish,tr,11,11,1,Shaaban British,turkish_shaban,"Translated by Shaaban British, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/turkish_shaban
Turkey,No,QuranEnc,Turkish,Turkish,tr,11,11,1,Dr. Ali Ozek and others,turkish_shahin,"Translated by Ali Ozek and others, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/turkish_shahin
Azerbaijan,No,QuranEnc,Azerbaijani,Azerbaijani,az,12,12,1,Alikhan Musayev,azeri_musayev,"Translated by Alikhan Musayev, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/azeri_musayev
Georgia,Yes,QuranEnc,Georgian,Georgian,ka,13,13,1,Rowwad Translation Center,georgian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/georgian_rwwad
North Macedonia,Yes,QuranEnc,Macedonian,Macedonian,mk,14,14,1,Group of Macedonian scholars,macedonian_group,Translated and reviewed by a group of Macedonian scholars.,https://quranenc.com/en/browse/macedonian_group
"Albania, Kosovo",No,QuranEnc,Albanian,Albanian,sq,15,15,1,Hasan Nahi,albanian_nahi,"Translated by Hasan Nahi, issued by Albanian Institute of Islamic Thought and Civilization.",https://quranenc.com/en/browse/albanian_nahi
"Albania, Kosovo",No,QuranEnc,Albanian,Albanian,sq,15,15,1,Rowwad Translation Center,albanian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/albanian_rwwad
Bosnia ,No,QuranEnc,Bosnian,Bosnian,bs,16,16,1,Rowwad Translation Center,bosnian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/bosnian_rwwad
Bosnia ,No,QuranEnc,Bosnian,Bosnian,bs,16,16,1,Muhammad Mihanovich,bosnian_mihanovich,"Translated by Muhammad Mihanovich, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/bosnian_mihanovich
Bosnia ,No,QuranEnc,Bosnian,Bosnian,bs,16,16,1,Besim Korkut,bosnian_korkut,"Translated by Besim Korkut, supervised by Rowwad Translation Center. Original translation available for review.",https://quranenc.com/en/browse/bosnian_korkut
Russia,Yes,QuranEnc,Russian,Russian,ru,17,17,1,Abu Adel,russian_aboadel,Translated by Abu Adel.,https://quranenc.com/en/browse/russian_aboadel
Serbia,Yes,QuranEnc,Serbian,Serbian,sr,18,18,1,Rowwad Translation Center,serbian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/serbian_rwwad
Croatia,Yes,QuranEnc,Croatian,Croatian,hr,19,19,1,Rowwad Translation Center,croatian_rwwad,"Translated by Rowwad Translation Center, in cooperation with Islamic Propagation Office (Rabwah).",https://quranenc.com/en/browse/croatian_rwwad
